"","year","age","category","count"
"382",2009,"21-44","Adults",91799
"383",2009,"45-64","Adults",9028
"384",2009,"65-74","Adults",56
"385",2009,"75-84","Adults",3
"386",2009,"85 and older","Adults",2
"387",2009,"Unknown","Adults",2
"388",2009,"5 and younger","Children",164662
"389",2009,"6-14","Children",142503
"390",2009,"15-20","Children",56670
"391",2009,"21-44","Children",1396
"392",2009,"45-64","Children",2
"393",2009,"65-74","Children",0
"394",2009,"75-84","Children",0
"395",2009,"85 and older","Children",0
"396",2009,"Unknown","Children",4
"397",2009,"5 and younger","Other/ Unknown",0
"398",2009,"6-14","Other/ Unknown",0
"399",2009,"15-20","Other/ Unknown",0
"400",2009,"21-44","Other/ Unknown",44
"401",2009,"45-64","Other/ Unknown",339
"402",2009,"65-74","Other/ Unknown",5
"403",2009,"75-84","Other/ Unknown",0
"404",2009,"85 and older","Other/ Unknown",0
"405",2009,"Unknown","Other/ Unknown",0
